,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F13,F14,F15,F16,F17,F18,F19,F20,F21,F23,F24,F26,F28,F29,F30,F36,F38
BCAM,21.250834,21.828392,19.731857,21.906347,21.472103,22.22428,21.448902,20.182438,22.247053,21.769192,21.197163,19.806376,21.246883,21.065208,21.022472,24.486322,20.897142,22.59444,20.842756,21.094975,20.72682,18.845837,21.688011,22.0134,21.801493,19.07945,16.474424,20.210152
KRT35,20.207603,19.993374,19.954193,20.265375,20.393297,19.308973,19.550766,19.25785,19.555462,19.692278,19.796148,19.432108,19.195744,19.422129,22.239367,18.265617,19.371859,19.44868,19.617748,18.889652,19.794962,19.26403,19.62602,19.222067,17.219044,19.592993,19.66883,19.760208
PGM3,22.393707,23.8932,23.204094,23.081213,23.219852,23.097486,22.394625,21.642347,23.763153,22.409338,23.768204,22.88242,22.645206,23.583183,22.5972,22.1878,23.556282,22.934998,23.468903,22.571688,24.556236,22.725971,22.883774,23.70394,23.001553,23.007332,23.92191,22.379128
CNRIP1,20.259789,20.055271,21.680698,20.330551,20.471167,19.93627,19.021893,19.649046,19.50283,18.27947,19.977745,22.586954,20.210142,19.046137,21.312502,20.735106,21.713943,19.59514,21.155972,18.968945,18.78528,17.533184,19.613325,17.64733,18.88801,20.581106,20.46849,21.767506
TCERG1,19.686876,18.757084,21.447712,21.477581,21.351748,19.282845,20.811058,18.091524,19.608034,21.18596,19.089777,21.634623,21.36619,21.52565,20.636974,17.170694,21.192799,20.695435,21.793396,19.243,22.081148,21.160322,20.824293,19.976881,19.567198,20.197033,20.959291,20.06189
DNAJC5,19.388094,18.867569,20.67774,20.608217,20.985535,18.66838,19.29176,19.105778,19.464853,19.096039,20.836872,20.974905,20.471006,18.624496,20.22205,18.747833,22.472607,19.602085,21.148708,18.586073,21.976948,21.441637,22.932499,22.285757,22.309862,23.214306,21.356144,24.25877
TIMM44,21.038326,19.604746,20.669197,20.319824,20.946325,18.529306,19.862434,19.951653,19.711178,19.643053,21.708447,20.861158,19.808323,20.167341,19.751328,19.27048,20.23556,18.916365,21.67649,19.978489,20.173567,20.452616,20.47741,19.61567,20.12536,20.413643,21.428503,19.957731
MTOR,20.48124,18.918089,20.837748,20.64643,17.77055,19.39891,20.29294,20.446455,20.395388,20.653042,20.819662,16.026625,21.004084,20.817738,20.026432,18.08361,20.875757,20.52182,21.512173,20.37501,21.622034,21.478683,21.21826,21.051878,20.899988,21.8443,20.937557,21.221996
RAB3C,20.172354,19.949242,19.916645,20.229385,18.878906,19.245401,19.25125,17.477993,19.499369,16.640926,19.052864,17.478722,17.722157,19.343813,19.234297,16.305607,18.2006,19.376371,19.552252,18.84786,19.793474,16.237257,20.627623,19.343422,18.478613,22.21846,19.672522,22.946543
OCIAD1,20.884405,17.458014,21.044582,15.795639,21.802248,20.110521,20.13116,20.802895,20.226036,19.586742,20.716833,20.688679,20.201338,21.800848,20.142677,21.085333,22.096199,21.002594,21.43284,20.105028,22.113419,21.804338,22.010971,20.616486,21.441069,21.356659,21.85129,21.041842
MYLK,20.589373,14.382814,20.089981,19.940197,19.949345,19.2534,21.94651,14.351745,15.329723,21.384039,19.106829,17.570818,19.829922,20.789034,20.669102,21.685482,19.101023,20.701578,18.395678,20.528622,18.040676,21.478655,20.581184,20.758602,20.291206,20.858929,20.52566,20.460703
PARVA,18.648577,19.897882,19.099573,19.768885,20.525389,21.002144,21.06968,20.900528,21.33586,20.654713,20.784515,20.53682,21.027088,20.747952,19.647738,19.220133,19.496286,20.86457,21.928146,19.408026,20.83881,19.82568,19.599329,20.044193,19.869514,19.011314,20.090036,19.516394
MYO9B,20.155037,19.322569,20.30096,21.267712,20.357151,17.655972,19.933886,19.216022,19.522207,20.316288,19.761711,19.222843,20.180483,21.005175,18.716438,14.875443,18.97472,19.168432,20.361172,18.074707,21.041014,19.718956,18.337194,19.807661,19.27076,19.044605,20.400383,20.582119
