,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F13,F14,F15,F16,F17,F18,F19,F20,F21,F23,F24,F26,F28,F29,F30,F36,F38
CASKIN2,20.11047,19.86986,19.819576,20.14946,19.501453,19.177711,17.873798,19.118855,17.747572,17.812588,19.65198,16.564268,17.795382,19.263912,18.821606,18.102745,18.322723,16.368843,19.453344,18.775532,19.65921,19.132826,18.20927,17.29871,17.85663,17.916353,19.53348,19.65649
HERC4,22.322788,22.222105,22.311977,22.417702,22.645782,21.599827,21.842161,21.571756,21.810383,21.866673,22.031332,21.789133,21.607687,21.744518,21.413675,20.666216,21.744362,21.87634,21.97384,21.161303,22.156286,21.60122,21.924784,21.565521,21.641916,21.800966,22.02847,21.918
EFCAB5,20.145945,16.951687,19.39412,21.498543,20.933887,19.228727,19.476475,19.179567,19.484558,19.6251,19.729904,19.347767,19.103357,19.333609,18.904396,18.17266,19.307497,19.370842,19.543377,18.818668,19.75932,19.240837,19.612663,19.186893,19.25528,23.400433,19.634441,19.98739
DEPTOR,21.901272,21.698454,21.768705,21.925322,22.155062,21.017067,21.243147,20.97155,21.226868,21.295835,21.446547,21.179377,20.9605,21.12197,20.77115,20.056154,21.106667,21.25681,21.3456,20.644835,21.529287,21.002565,21.32489,20.966469,21.04494,21.226658,21.414022,21.357447
FAM89A,20.120834,19.105377,19.85924,20.174225,20.302809,18.963684,19.433496,18.465483,19.450571,19.588055,19.687288,19.299757,19.05655,19.285553,18.855875,18.123104,19.240606,14.626435,19.489334,18.791742,19.718643,19.19511,19.556955,19.146967,19.21861,19.534172,19.589666,19.821066
PDPR,20.882296,22.195131,20.642553,20.8965,21.073421,21.77086,20.167692,21.86163,21.044346,20.270908,20.706987,20.324152,20.705101,20.026882,19.406673,18.90886,19.577703,19.600695,20.881268,19.550234,20.423498,19.88563,20.223919,19.844404,19.931644,20.164812,20.29799,20.313496
EMG1,21.971045,21.775784,21.846935,21.997282,22.223007,21.09996,21.328697,21.05794,21.30697,21.374645,21.526712,21.269178,21.044237,21.209085,20.861994,20.139414,21.193335,21.350218,21.43182,20.720068,21.609652,21.080835,21.404606,21.05002,21.134747,21.306675,21.497997,21.440767
AIDA,23.465818,23.763273,23.863192,23.83423,24.046007,23.408487,23.719826,23.478254,23.642746,23.693045,23.89129,23.672554,23.647926,23.716015,23.440428,22.499237,23.762796,23.727589,23.944704,22.651865,24.128952,23.473534,23.825727,23.419344,23.478727,23.614391,23.941214,23.661936
ABLIM2,21.29187,21.02447,21.062656,21.279362,21.4797,20.312141,20.539837,20.261724,20.531593,20.624384,20.755249,20.448565,20.216074,20.405956,20.020512,19.323952,20.367138,20.521654,20.621405,19.959415,20.80389,20.286491,20.61692,20.25019,20.334215,20.544441,20.692019,19.70059
REXO2,19.523138,19.941986,19.943998,20.252918,20.384525,19.463606,19.359936,18.80926,19.584827,19.00711,19.693409,20.100681,20.25988,19.748386,19.871058,20.254738,20.98788,21.768427,20.468426,19.82216,20.049889,18.800274,18.94562,19.669994,20.06657,19.433598,19.24413,19.090588
NXF1,23.529297,23.815664,23.917814,23.881195,24.09464,23.466066,23.76583,23.529573,23.69336,23.735762,23.938513,23.724768,23.702581,23.761545,23.501465,22.561172,23.81797,23.789145,23.992397,22.71869,24.17655,23.531319,23.8824,23.476341,23.530266,23.670834,23.988716,23.718983
ASH1L,20.773983,19.377169,19.927265,20.1732,20.26577,20.059967,20.250717,18.154358,20.544355,19.470661,20.443298,23.866995,23.540865,20.558517,23.073376,23.21366,24.593473,24.580513,24.342138,21.692293,18.012165,18.450138,19.470346,18.920786,19.225847,19.930489,18.906109,19.072687
BNIP1,19.288803,20.135687,18.776503,19.747635,20.192312,18.253633,19.05803,17.932936,18.985592,19.134031,19.057167,18.676613,18.580265,18.905949,18.853981,17.160376,18.195368,19.990967,19.481035,18.797155,19.712547,19.023357,19.553143,19.142864,19.213827,19.412083,19.581347,19.700224
FAM8A1,20.114248,19.87701,19.840963,20.156507,20.281618,18.1209,18.860527,17.665243,19.439194,18.857004,19.399218,19.28493,18.11599,17.789227,18.842047,18.111446,19.226448,17.36133,19.469992,18.778158,19.688675,19.171762,19.536081,19.12247,19.193758,19.51156,19.558815,19.68998
RABIF,23.488214,23.777622,23.876822,23.841059,24.054474,23.419205,23.724241,23.487293,23.65174,23.695696,23.899004,23.687408,23.666683,23.727058,23.466295,22.5305,23.789165,23.749998,23.956112,22.677952,24.146044,23.498392,23.85537,23.448896,23.495264,23.64341,23.960009,23.693512
TOR1B,23.47408,23.761358,23.858124,23.82482,24.04023,23.408625,23.709614,23.46999,23.637432,23.681181,23.880028,23.665876,23.644384,23.706335,23.441204,22.503939,23.76001,23.726091,23.934248,22.653084,24.122284,23.472147,23.82592,23.422533,23.47549,23.613697,23.935535,23.662783
DLG3,21.942244,21.743088,21.817873,21.964138,22.191322,21.055248,21.282352,21.011679,21.263304,21.328585,21.478624,21.221167,21.002708,21.164099,20.815905,20.097742,21.146196,21.30189,21.38896,20.68418,21.56722,21.039038,21.362003,21.010649,21.090597,21.268301,21.456488,21.40369
USP11,21.903576,21.69298,21.765718,21.911995,22.14339,21.011553,21.228918,20.96385,21.215652,21.28284,21.43002,21.163284,20.948217,21.10521,20.757269,20.049557,21.0944,21.253668,21.330029,20.640514,21.517345,20.993443,21.317043,20.95906,21.035732,21.217398,21.404774,21.353159
KLK7,18.903662,21.88485,21.849056,20.294565,18.043406,20.52994,21.023554,17.019255,20.649424,20.84062,19.839865,19.457743,17.087017,19.454096,17.475431,15.879268,18.972862,19.46995,19.89313,17.586859,19.880312,20.545662,20.501385,21.469677,20.694126,20.560337,21.11301,21.82537
TMLHE,22.267555,22.13152,22.216858,22.33416,22.559742,21.486307,21.724974,21.463223,21.692797,21.75324,21.916298,21.67553,21.478537,21.622814,21.29439,20.54533,21.624392,21.760519,21.852049,21.073727,22.02472,21.483377,21.809748,21.450464,21.525913,21.692213,21.907091,21.817667
NIPBL,22.061872,21.878464,21.96012,22.095423,22.327398,21.211338,21.439476,21.17253,21.416037,21.48114,21.638704,21.38446,21.175508,21.323656,20.986387,20.262363,21.31838,21.469866,21.55579,20.822876,21.734243,21.199764,21.517397,21.163939,21.246513,21.416452,21.613901,21.548061
RAB11FIP5,18.450256,19.374622,19.790361,18.980528,20.342611,19.237787,18.794727,19.18144,19.089853,19.228136,19.391325,19.70409,18.71776,19.341722,19.608196,17.815544,19.930191,19.37904,19.51732,18.833252,20.526863,19.247543,20.702826,19.193129,19.26489,20.781794,20.327057,20.613337
CCDC183,22.3296,22.237179,22.330116,22.432428,22.663467,21.622421,21.858522,21.594812,21.831354,21.887718,22.054745,21.808773,21.62954,21.759768,21.439657,20.689144,21.765072,21.891296,22.00065,21.182085,22.170443,21.629671,21.947811,21.588036,21.65968,21.82437,22.048265,21.9395
GALE,20.135283,19.51933,20.39148,20.18615,20.309134,19.221714,19.467852,19.063349,19.473207,19.277994,19.7087,19.885324,19.352224,19.709225,19.64523,18.171438,19.734076,19.395128,20.007639,19.180248,19.53858,19.203527,18.72116,19.144958,18.654251,18.635035,19.410973,18.988783
ZFYVE19,20.10396,19.851141,19.80743,20.142738,20.254425,19.160456,19.398867,19.09851,19.405712,19.550457,19.64083,18.242512,17.463041,18.582203,17.232431,18.085623,19.18997,18.131542,19.440222,18.756575,19.138964,17.77181,18.756258,18.808344,18.119492,19.137995,18.994148,18.745785
HECW1,20.148302,19.92364,19.882841,20.200502,20.32116,19.2386,19.48076,19.175879,19.488527,19.626883,19.722584,19.335312,19.103643,19.333506,18.633995,18.182856,19.27529,19.364141,18.231451,18.818739,19.741093,19.207346,19.567114,19.163862,19.241892,18.682573,19.611269,19.711475
FHL3,18.998423,19.57347,20.411175,20.417498,20.8782,18.746977,20.31034,20.158377,20.195667,20.226421,19.719915,20.397217,20.307331,20.545198,19.504837,18.21418,19.270779,19.71491,20.526176,18.861681,20.296196,20.219744,19.884682,19.324512,20.041862,19.220247,19.792097,18.94782
VPS26A,20.15336,19.918783,19.889011,20.209927,20.3293,19.227558,19.477482,19.177309,19.4798,19.6253,19.72177,19.46381,18.16782,18.905266,19.552666,17.795343,19.794127,19.190903,19.155287,17.66754,19.751837,19.226234,19.583813,19.169077,19.245468,19.561245,19.621819,19.72868
STXBP6,20.123447,19.882456,19.84585,20.161982,20.283989,17.149958,19.430418,19.134787,17.861464,19.575716,17.185934,19.293251,19.044144,16.687593,18.846172,18.123045,16.975111,19.314495,17.782967,18.800814,19.68516,19.158243,18.768747,18.235207,19.197062,18.41984,19.558992,20.612389
SACS,22.052456,21.875982,21.955956,22.091904,22.318962,21.2108,21.441069,21.177738,21.419855,21.481585,21.637957,21.386799,21.179281,21.334293,20.992573,20.259413,21.32862,21.472488,21.55989,20.825006,21.736305,21.205383,21.52615,21.165483,21.250599,21.419239,21.62043,21.544765
UBA7,23.449903,23.73513,23.834839,23.802328,24.021112,23.373178,23.689919,23.448479,23.613363,23.661224,23.86252,23.644964,23.62087,23.687445,23.415802,22.470238,23.739212,23.701408,23.920517,22.625853,24.107676,23.456573,23.807077,23.39648,23.453382,23.595871,23.921131,23.640873
LACRT,20.144545,19.924623,19.887718,20.200087,20.32942,17.896563,17.768778,19.179434,17.734045,20.088625,18.074162,18.23833,19.104633,17.802921,18.899448,18.171091,19.285969,19.361422,19.535305,20.29433,19.749332,19.223303,19.589045,19.175312,19.24941,19.56745,19.62096,19.734774
CNTN2,23.407623,23.675253,23.771048,23.74588,23.955757,23.308214,23.61437,23.377892,23.542225,23.587059,23.791826,23.572803,23.54659,23.609133,23.340498,22.405607,23.666939,23.63728,23.84631,22.565107,24.027542,23.377361,23.729538,23.318829,23.379152,23.518936,23.841415,23.567593
NGLY1,21.893534,21.683435,21.749243,21.907885,22.12883,20.999104,21.224396,20.949171,21.205181,21.274212,21.422112,21.155329,20.939072,21.09611,20.749853,20.032343,21.089966,21.245827,21.322289,20.62687,21.505083,20.97837,21.300781,20.94729,21.029251,21.204075,21.390112,21.338274
AKAP13,22.063225,21.895885,21.972013,22.10173,22.334393,21.225739,21.451944,21.190773,21.433302,21.49636,21.65283,21.39792,21.185886,21.33431,21.002285,20.27043,21.33419,21.4809,21.57021,20.83512,21.755466,21.228186,21.54695,21.187498,21.269575,21.437847,21.636593,21.57279
MCRS1,20.175705,19.963833,19.925209,20.232231,20.363272,19.955536,19.52357,19.221128,19.528578,19.665007,17.747976,20.418499,20.769766,18.785517,19.441332,20.806257,20.552235,20.46848,20.555687,19.96406,19.794682,19.257896,19.616413,19.205824,19.291132,19.59358,19.663229,19.753958
AGO2,20.127493,19.896402,19.858051,20.176552,20.305359,17.35941,19.44082,19.148014,18.944942,18.58043,18.304173,17.889938,19.068552,19.295845,19.228067,20.244595,18.395021,17.766016,16.865496,18.807539,19.719091,19.19493,19.557169,19.143417,19.2194,19.526,19.592607,19.69512
STK38L,22.046997,21.86148,21.943602,22.077831,22.30966,21.192955,21.423407,21.156439,21.399704,21.462296,21.615812,21.359976,21.149124,21.30447,20.965572,20.236553,21.294262,21.447893,21.533098,20.805752,21.711462,21.185568,21.505764,21.154701,21.226725,21.39818,21.600754,21.530407
TAF8,21.94843,21.749651,21.8271,21.975271,22.200258,21.068771,21.294601,21.03094,21.278503,21.346382,21.497717,21.238777,21.018812,21.178009,20.831732,20.115051,21.164148,21.316996,21.406725,20.694023,21.584267,21.055279,21.377668,21.017756,21.10015,21.279839,21.47008,21.408411
IGLV8-61,20.13196,19.891403,19.853622,20.172283,20.29507,16.86534,19.798086,18.597528,18.25204,18.854246,18.259918,17.675941,19.0651,18.27776,18.859514,18.132614,19.245829,19.322922,18.6349,19.16651,18.177818,19.769897,19.538303,19.127684,17.884869,20.546236,18.283842,18.561052
ZNF804A,19.158382,19.469437,20.463226,20.235138,20.521263,18.572289,18.91776,19.21503,19.11197,18.424097,19.139868,19.389673,19.14587,18.79035,18.949818,18.1917,19.3483,19.400137,19.588032,18.845833,21.66757,21.24259,21.093786,19.69116,20.429756,20.020187,21.337776,21.151457
SCYL2,20.122927,19.897184,19.854898,20.178102,20.302004,17.713686,19.000694,19.150808,19.45363,18.991093,19.690506,19.152174,18.006386,19.014036,17.809101,18.137648,19.471397,17.976698,19.027367,18.798777,18.588102,17.954096,19.538301,19.125122,19.302263,18.600956,18.623455,17.630548
CYLD,19.39136,19.900602,19.860043,20.180265,20.118132,19.209667,19.77914,19.174812,19.140995,20.636366,19.899698,19.297003,19.053274,18.38082,14.290907,18.117874,19.245869,15.979157,15.108332,16.617226,19.738222,19.218664,19.921806,19.162172,19.62741,19.55493,21.043629,21.066198
RNASE1,23.444525,23.732153,23.82948,23.79672,24.01285,23.37589,23.683527,23.441456,23.61259,23.655865,23.857128,23.636429,23.616554,23.67945,23.410767,22.476408,23.732407,23.692406,23.911179,22.623152,24.098688,23.44723,23.800705,23.393772,23.449148,23.588545,23.912046,23.637726
GCFC2,20.140396,20.77509,19.857616,20.17979,20.297253,20.533249,19.040518,19.159885,19.137262,19.599665,19.697708,19.315853,19.08046,19.302725,18.87244,14.610404,19.250515,19.344995,19.501322,18.815842,18.748865,19.16354,16.780724,15.774652,19.21234,19.4971,17.402578,17.259567
ASXL2,21.97275,21.771206,21.8431,21.988771,22.217615,21.091059,21.315,21.050179,21.297989,21.364277,21.51474,21.257029,21.039478,21.199158,20.852974,20.131563,21.184896,21.348816,21.422895,20.719978,21.603373,21.070919,21.394737,21.04112,21.121544,21.296011,21.486322,21.431742
SCAF4,22.949032,23.066011,23.161697,23.193293,23.41686,22.580048,22.86328,22.610018,22.81174,22.856247,23.045948,22.826277,22.725843,22.825647,22.527925,21.673475,22.854021,22.885582,23.062435,21.980684,23.244608,22.635885,22.969887,22.582737,22.655903,22.798496,23.084616,22.870111
CACNA1C,18.267574,19.856916,19.82499,20.138979,20.261854,17.369661,17.789225,19.104315,17.756474,17.67135,19.65398,19.266785,19.015303,14.976757,18.813145,18.075388,19.197329,14.732314,19.45166,18.758461,19.683098,19.738945,19.52591,19.10907,19.18311,19.985538,20.4257,19.682684
USP17L15,22.538431,22.511806,22.59857,22.6774,22.91087,21.925268,22.179014,21.91832,22.14569,22.195415,22.368958,22.135502,21.97596,22.10171,21.786848,20.996347,22.110468,22.20962,22.341352,21.4309,22.522835,21.950987,22.282364,21.91274,21.983866,22.141594,22.389269,22.235703
CDK5RAP2,20.525078,19.221395,23.632706,20.827072,21.002525,20.195105,20.742306,19.829178,20.118345,20.94845,20.36611,20.028429,19.050606,19.998775,19.58658,18.012728,19.967741,21.65441,21.49222,20.178877,21.526838,22.096518,21.804018,21.708818,22.284517,21.80576,21.382536,21.035881
NDOR1,23.494473,23.783318,23.879898,23.85212,24.05791,23.433388,23.738117,23.498783,23.65981,23.709517,23.906023,23.68894,23.669178,23.735172,23.4613,22.518923,23.780994,23.745071,23.958666,22.67541,24.149578,23.493002,23.846836,23.441963,23.499199,23.637878,23.960724,23.683971
RSPH4A,21.919365,21.705784,21.771383,21.922846,22.150862,21.018665,21.238903,20.967941,21.22081,21.287506,21.43963,21.179163,20.956274,21.114578,20.774923,20.061457,21.106318,21.262854,21.341578,20.655834,21.52384,21.003056,21.328505,20.967592,21.052172,21.231562,21.412424,21.370617
SH3BGRL2,20.091087,18.950214,18.376545,17.593054,20.231167,19.145163,16.258127,18.784597,16.918905,19.522762,18.173233,17.362778,18.984594,19.218348,18.549397,18.126795,17.166658,19.2614,16.834393,18.751883,14.032303,19.105549,19.46139,19.055504,15.550128,17.608702,15.337507,19.621347
RGS12,22.094898,21.918137,21.997562,22.130554,22.361532,21.260202,21.493307,21.219372,21.467878,21.529516,21.686995,21.431316,21.22804,21.378723,21.038761,20.321344,21.363148,21.519272,21.60528,20.867428,21.781212,21.245888,21.56828,21.213894,21.296356,21.463253,21.665474,21.590849
SMC4,21.940004,21.739887,21.806156,21.959248,22.188929,21.050587,21.27504,21.00272,21.257475,21.3253,21.475048,21.211319,20.992939,21.150034,20.807583,20.099318,21.142546,21.292828,21.382387,20.671988,21.566065,21.0365,21.360973,21.005583,21.087633,21.2657,21.452677,21.403103
ZNF552,22.0458,21.853344,21.928335,22.069489,22.294077,21.17857,21.407705,21.136166,21.382113,21.449766,21.597296,21.34716,21.139,21.291868,20.951557,20.23518,21.28416,21.445627,21.515432,20.80322,21.689116,21.166737,21.48927,21.134161,21.210802,21.388283,21.57963,21.517412
CCDC66,20.902153,21.943321,21.08349,22.2066,21.329449,19.739344,18.74043,19.374422,21.071123,21.454655,21.413324,21.380615,20.967047,20.335289,21.0026,20.279114,21.709116,21.023746,21.19972,20.03237,22.877197,21.2747,22.215273,21.860909,22.481443,22.28105,22.11775,23.037851
ATXN1,22.632984,23.158854,23.542686,20.772068,20.021296,22.005144,22.774069,20.102116,23.927605,23.938765,23.901503,23.818495,17.213987,15.657365,15.592762,15.418973,16.991045,16.842836,17.294365,22.824167,24.545326,25.594011,23.55,24.927094,22.321644,22.28253,23.912956,22.59833
RAPH1,21.990013,21.797993,21.872087,22.020489,22.25133,21.123457,21.353712,21.084599,21.333017,21.39916,21.551125,21.288486,21.076254,21.234644,20.889442,20.171413,21.22067,21.375587,21.459402,20.742426,21.641638,21.112892,21.432734,21.073679,21.15978,21.3306,21.525309,21.462076
GRHL2,20.251148,20.05587,20.030037,20.332096,20.46166,19.377354,19.620455,19.32016,19.62617,19.75752,19.867441,20.196167,20.328657,19.975811,20.856192,18.503403,19.746548,21.416342,20.686447,19.64428,19.886574,20.05068,19.69919,19.2927,19.374262,18.059603,19.753298,19.816795
HSPA14,20.091263,18.104727,19.81298,20.1302,20.258287,17.440968,19.049774,19.09619,17.603579,18.3044,17.694754,19.243784,18.989227,17.17818,18.79237,18.056986,15.807838,17.54921,19.420929,18.751614,19.666164,19.14767,19.513752,19.097641,19.171848,19.488447,19.539803,19.672377
PIP4K2C,20.114737,19.880878,19.838577,20.155989,20.276125,16.850683,17.406248,17.471119,16.744389,17.005884,17.693882,19.05141,19.033495,16.653255,18.0291,16.867277,19.519623,17.307888,18.555666,17.29245,19.268848,18.473328,19.720068,18.657837,17.557434,19.862518,18.851849,20.593803
WBSCR22,18.069292,17.588154,19.835215,19.733774,20.160786,17.962347,18.253843,19.115091,19.417513,18.375074,17.501669,19.11752,18.191301,19.27375,18.82628,18.097975,18.5112,19.287798,19.048615,18.783274,20.535841,19.175201,19.531675,17.899887,19.1928,19.510725,19.558321,19.685371
CNTLN,22.018665,21.850964,21.931324,22.076262,22.304136,21.190681,21.423326,21.158054,21.400795,21.465126,21.622637,21.3606,21.153093,21.305565,20.970486,20.238815,21.301,21.443592,21.541668,20.796682,21.722393,21.189922,21.51274,21.153883,21.230536,21.408323,21.603144,21.534512
DNAH7,20.923464,20.918207,20.59867,22.536217,21.759949,21.540367,22.811699,22.188478,21.724333,22.162712,20.96434,21.137028,20.886295,22.547005,21.315952,21.04509,20.086027,20.217081,20.364435,19.610136,20.89951,18.755285,19.391628,19.659086,20.94957,20.83845,19.845293,20.817268
SASS6,20.128517,19.898102,17.918755,20.183294,20.304543,19.21871,19.454597,17.133764,19.46626,18.191462,18.805908,20.03299,18.972822,21.071606,20.080275,18.143692,20.018923,19.462538,20.31349,17.270391,19.71331,17.502926,19.547785,19.131077,18.180166,18.469788,19.585424,19.695005
STK31,22.103008,21.930786,22.01003,22.13997,22.372686,21.268639,21.493681,21.232447,21.472332,21.533808,21.693838,21.440779,21.236673,21.380318,21.048119,20.311567,21.377058,21.524618,21.61989,20.872814,21.797264,21.259132,21.584293,21.224464,21.305822,21.477453,21.67875,21.60525
AMFR,22.519897,22.46735,22.562199,22.63869,22.878431,21.872519,22.122725,21.86191,22.0818,22.134987,22.308413,22.078798,21.905144,22.03619,21.72052,20.944208,22.042542,22.156473,22.269373,21.405815,22.452257,21.88632,22.214529,21.854908,21.923717,22.077024,22.321072,22.181244
LST1,22.119694,21.957575,22.03493,22.164057,22.394186,21.295797,21.521313,21.25192,21.49924,21.560484,21.719461,21.466433,21.257814,21.409689,21.072515,20.350008,21.399797,21.550604,21.633059,20.90665,21.817041,21.286364,21.610102,21.255787,21.328932,21.501978,21.703808,21.62694
CHMP1A,19.189966,19.605986,19.597176,19.026007,20.065891,19.22852,19.464073,17.654074,18.800406,18.671968,19.720516,19.334467,19.100056,15.433549,18.89888,19.219334,19.287882,20.501465,21.20349,18.819063,20.480688,20.529179,20.117744,19.717064,19.856348,19.869698,20.277054,19.455357
CISD2,20.146242,19.915136,19.875673,19.484884,20.206738,19.195183,20.309288,19.145649,19.878918,19.975838,20.271517,18.476175,19.338537,19.729006,18.789291,17.922451,18.590885,20.42456,19.136726,19.258888,17.739965,17.950537,17.781271,16.949652,18.29391,18.138018,19.29358,17.772547
SLC7A10,20.19103,19.971054,19.946102,20.25066,20.378841,18.956797,19.537882,19.24303,17.65778,19.682606,19.783573,19.408953,19.172024,19.398848,18.975035,18.239027,19.359188,19.427399,19.610262,18.8659,19.818325,19.287449,19.645,20.060133,21.209515,19.61204,19.683891,19.40324
NME7,23.514023,23.801153,23.901115,23.869253,24.081188,23.445911,23.753464,23.513529,23.67673,23.724823,23.923615,23.70894,23.68486,23.749989,23.485834,22.543678,23.800425,23.764563,23.975513,22.696138,24.163965,23.512337,23.865835,23.463547,23.51739,23.656994,23.975468,23.705616
ARHGAP8,22.207079,22.061974,22.14571,22.26117,22.495329,21.414152,21.64652,21.376354,21.618528,21.678076,21.837887,21.592108,21.391417,21.53581,21.207243,20.46614,21.53453,21.67068,21.765366,21.00168,21.94928,21.414284,21.73868,21.377285,21.452505,21.62069,21.833185,21.745598
NECAP1,20.144707,19.931921,19.895788,20.207767,19.270077,18.722618,19.494549,18.647957,19.50377,19.636875,19.740915,19.3589,19.125486,19.351759,18.920145,18.188465,18.402449,19.375032,19.555346,18.831089,19.758698,19.224829,20.192755,18.543173,19.257444,20.339981,19.62658,20.574804
PDE1B,20.15114,19.93161,19.888905,20.209133,20.331793,19.239092,19.485813,16.971205,19.491302,19.632046,19.729004,19.346119,19.113274,19.339233,18.90958,18.187687,16.874363,19.372625,19.543535,18.83603,19.75045,19.22934,19.585726,19.57006,19.25565,20.421188,18.426004,20.570673
MTSS1,22.474205,22.399551,22.48749,22.576242,22.817686,21.790968,22.03213,21.777071,21.998129,22.049562,22.219587,21.983183,21.812714,21.939734,21.621237,20.858622,21.944557,22.073095,22.174541,21.334946,22.348827,21.795736,22.114532,21.752151,21.835453,21.983091,22.219032,22.092916
C19orf68,20.136112,19.914423,19.762798,19.791937,20.321625,19.222248,19.022064,18.449121,19.472752,19.812548,18.68029,19.107763,19.094408,19.199661,19.592913,18.159597,20.708853,19.938717,18.39133,17.635223,19.217695,20.430214,19.603788,19.17548,18.644077,21.258186,18.979603,18.917702
MAGI3,20.58459,19.992485,19.954218,20.267233,20.393993,20.433722,21.0128,20.90209,19.728508,20.972029,21.39126,20.80018,19.211699,20.40709,20.461836,18.268805,20.799786,21.076698,20.957996,19.42927,18.128223,18.105165,18.97982,18.367435,18.791475,18.770544,18.67885,19.605795
PIK3R5,22.224504,22.089664,22.18538,22.30206,22.53094,21.446806,21.688868,21.422537,21.655058,21.721565,21.881283,21.633646,21.433996,21.583426,21.24894,20.504114,21.57081,21.711508,21.809465,21.031025,21.993069,21.447542,21.76867,21.40921,21.490047,21.65184,21.871622,21.766356
ZBED3,20.103607,18.585238,18.416412,20.151588,20.26912,16.965853,19.421043,19.122276,19.424812,19.567886,19.660395,16.84491,15.364595,19.259304,18.817133,18.090336,19.199978,16.93566,16.416052,18.029272,18.264345,17.617739,17.75221,17.175678,19.173891,19.48064,20.285858,19.661777
ANO6,20.107647,19.85907,19.8098,20.138662,20.251343,19.175774,19.405766,19.115185,17.950533,17.269527,19.647583,18.478828,15.936505,19.249044,17.767927,14.733489,19.193419,19.286148,16.788052,18.771538,18.14709,18.096842,18.501753,17.138092,19.153032,16.219072,19.509155,18.138906
DRD1,21.83349,21.614044,21.678492,21.839104,22.063839,20.925228,21.143234,20.871275,21.126438,21.198025,21.344011,21.074406,20.85512,21.016768,20.667007,19.962597,21.003618,21.160019,21.240625,20.552385,21.42107,20.894066,21.221228,20.865635,20.947418,21.134638,21.31083,21.268759
CD200,22.338692,22.22375,22.305517,22.416508,22.651655,21.593954,21.832743,21.565212,21.803923,21.857962,22.023481,21.776377,21.588715,21.727192,21.398222,20.652605,21.72471,21.858513,21.956755,21.160707,22.13708,21.595816,21.914825,21.554382,21.638226,21.79738,22.012012,21.913433
WDR59,20.21526,19.992779,18.400593,18.50262,18.359825,19.280186,19.526949,17.04459,18.20246,19.685947,19.785254,19.441404,19.187727,18.358532,21.879438,18.253405,22.783262,19.460955,19.622925,18.885496,18.60363,21.657566,23.225914,22.28892,17.552885,23.565897,18.067646,22.334696
ZNF677,22.07538,21.898848,21.969805,22.105274,22.33945,21.233107,21.460646,21.191011,21.437689,21.503382,21.655462,21.39862,21.194622,21.3471,21.009964,20.28003,21.339134,21.490822,21.574928,20.848242,21.756332,21.22594,21.545645,21.190496,21.270315,21.437807,21.638018,21.567942
C2,20.103693,19.861355,19.828045,20.144547,20.268185,19.166407,18.19606,19.112665,19.411924,17.799557,19.649649,19.269096,17.298508,18.99515,17.138086,18.104242,18.944836,19.292383,17.310385,18.77788,19.667522,19.146109,19.505157,19.096514,19.177399,17.56404,19.538296,17.731657
MINPP1,20.077179,19.833687,19.785614,20.107632,17.443316,19.152695,19.378857,19.0823,19.387547,15.042574,14.61915,19.232447,18.978283,15.439466,18.783604,18.060034,13.839848,19.25102,14.00052,18.747103,19.610846,13.206952,14.243707,19.04214,19.138498,19.419868,19.48118,19.621443
COL24A1,21.911854,21.713589,21.782177,21.935755,22.162186,21.033577,21.25679,20.98509,21.238388,21.305416,21.456005,21.192766,20.974516,21.130941,20.788342,20.073082,21.118246,21.27657,21.356918,20.656464,21.54002,21.01516,21.336443,20.979061,21.061436,21.240587,21.42517,21.376879
C10orf54,20.10435,19.073332,19.499496,19.092422,19.178558,19.179663,19.41246,19.118341,18.281542,17.17507,18.589222,19.270082,15.528329,15.526335,16.759142,15.973864,17.992092,16.217188,16.319466,16.186802,18.78901,19.749971,20.002195,19.236687,18.763107,18.778042,19.450583,17.770359
RAB11FIP1,22.29276,23.266562,23.904247,23.86008,24.077158,22.248276,21.241096,20.261602,23.40728,22.551147,23.497892,23.694105,23.671144,23.727129,14.021666,22.506477,23.759554,23.725542,23.971838,22.651358,23.61147,23.390297,23.113665,23.376673,22.913698,23.284927,23.13444,22.604166
MS4A18,21.958748,21.769169,21.84491,21.985537,22.211424,21.08674,21.311804,21.040228,21.291876,21.359055,21.507822,21.247337,21.030779,21.188509,20.84612,20.127392,21.171333,21.336378,21.413864,20.709152,21.596634,21.069363,21.389631,21.038565,21.120516,21.290483,21.481848,21.42431
TMEM75,20.20499,20.00317,21.70549,19.859976,20.40515,21.065971,19.080908,17.013803,19.306007,19.70797,19.814846,21.417515,19.12078,18.349266,20.843344,18.659708,17.16787,19.468151,17.790703,18.89965,18.14431,17.433664,19.368275,18.85481,18.19312,21.01204,18.463644,22.26195
RGL2,22.315487,22.204803,22.295782,22.402716,22.633215,21.582481,21.81956,21.560673,21.788118,21.847652,22.015165,21.762878,21.577488,21.716854,21.392052,20.636763,21.71931,21.85251,21.946947,21.155481,22.129108,21.582153,21.902143,21.542332,21.618395,21.777586,22.006851,21.898045
TAB2,21.99537,21.809212,21.882006,22.024008,22.251654,21.141445,21.370155,21.096153,21.347975,21.4165,21.565922,21.30697,21.093779,21.250639,20.902845,20.18211,21.235777,21.388672,21.47817,20.75145,21.65765,21.125685,21.450779,21.090242,21.17238,21.345322,21.542776,21.47636
